,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Fault,PolicyType,VehicleCategory,VehiclePrice,FraudFound_P,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,BasePolicy,is_match,ActualPolicyVehicle,ActualPolicyCoverage,PolicyMismatchFlag
0,Honda,1,Tuesday,Jan,0.0,0,Single,0,Sport - Liability,Sport,more than 69000,0.0,0.0,0.0,more than 30,more than 30,none,3 years,26 to 30,0,0,0,none,1 year,3 to 4,Liability,True,Sport,Liability,0
1,Honda,1,Monday,Jan,0.75,1,Single,0,Sport - Collision,Sport,more than 69000,0.0,0.25,1.0,more than 30,more than 30,none,6 years,31 to 35,1,0,0,none,no change,1 vehicle,Collision,True,Sport,Collision,0
2,Honda,1,Thursday,Nov,0.25,1,Married,0,Sport - Collision,Sport,more than 69000,0.0,0.25,0.6666666666666667,more than 30,more than 30,1,7 years,41 to 50,0,0,0,none,no change,1 vehicle,Collision,True,Sport,Collision,0
3,Toyota,0,Friday,Jul,0.0,1,Married,1,Sedan - Liability,Sport,20000 to 29000,0.0,0.25,0.3333333333333333,more than 30,more than 30,1,more than 7,51 to 65,1,0,0,more than 5,no change,1 vehicle,Liability,False,Sedan,Liability,1
4,Honda,1,Tuesday,Feb,0.25,0,Single,1,Sport - Collision,Sport,more than 69000,0.0,0.25,0.0,more than 30,more than 30,none,5 years,31 to 35,0,0,0,none,no change,1 vehicle,Collision,True,Sport,Collision,0
5,Honda,1,Wednesday,Nov,0.0,1,Single,1,Sport - Collision,Sport,more than 69000,0.0,0.25,0.6666666666666667,more than 30,more than 30,none,5 years,21 to 25,0,0,0,3 to 5,no change,1 vehicle,Collision,True,Sport,Collision,0
6,Honda,1,Monday,Feb,0.5,1,Married,1,Sport - Collision,Sport,more than 69000,0.0,0.25,0.0,more than 30,more than 30,1,7 years,36 to 40,0,0,0,1 to 2,no change,1 vehicle,Collision,True,Sport,Collision,0
7,Honda,1,Tuesday,Mar,0.75,1,Single,0,Sport - Collision,Sport,more than 69000,0.0,0.25,1.0,more than 30,more than 30,1,new,16 to 17,0,0,0,none,no change,1 vehicle,Collision,True,Sport,Collision,0
8,Honda,1,Wednesday,Dec,1.0,1,Single,0,Sport - Collision,Sport,more than 69000,0.0,0.25,1.0,more than 30,more than 30,none,6 years,31 to 35,0,1,0,3 to 5,no change,1 vehicle,Collision,True,Sport,Collision,0
9,Ford,1,Wednesday,Apr,0.5,1,Married,0,Utility - All Perils,Utility,more than 69000,0.0,0.25,0.0,more than 30,more than 30,2 to 4,more than 7,36 to 40,0,0,0,3 to 5,no change,1 vehicle,All Perils,True,Utility,All Perils,0
10,Mazda,1,Wednesday,Mar,0.5,1,Single,0,Sedan - All Perils,Sedan,more than 69000,0.0,0.25,0.6666666666666667,more than 30,more than 30,none,more than 7,over 65,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
11,Honda,1,Monday,Mar,1.0,1,Married,0,Sedan - Liability,Sport,20000 to 29000,0.0,0.25,0.0,more than 30,more than 30,2 to 4,more than 7,41 to 50,0,0,0,none,no change,1 vehicle,Liability,False,Sedan,Liability,1
12,Ford,1,Friday,Jan,0.5,1,Married,0,Sedan - Liability,Sport,more than 69000,0.0,0.25,0.0,more than 30,more than 30,1,7 years,31 to 35,0,0,0,none,no change,1 vehicle,Liability,False,Sedan,Liability,1
13,Honda,0,Wednesday,Feb,0.0,1,Single,1,Sedan - Collision,Sedan,more than 69000,0.0,0.25,0.6666666666666667,more than 30,more than 30,none,new,16 to 17,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
14,Ford,1,Thursday,Feb,0.0,1,Married,0,Sedan - Liability,Sport,more than 69000,0.0,0.25,0.0,more than 30,more than 30,none,more than 7,51 to 65,0,0,0,none,no change,1 vehicle,Liability,False,Sedan,Liability,1
15,Ford,1,Monday,Aug,1.0,1,Single,0,Sedan - Liability,Sport,more than 69000,0.0,0.25,0.0,more than 30,more than 30,none,6 years,36 to 40,0,0,0,none,no change,1 vehicle,Liability,False,Sedan,Liability,1
16,Ford,1,Wednesday,May,0.0,1,Married,0,Sedan - All Perils,Sedan,more than 69000,0.0,0.25,1.0,more than 30,more than 30,none,7 years,36 to 40,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
17,Chevrolet,1,Wednesday,Aug,0.0,0,Married,1,Sedan - Collision,Sedan,20000 to 29000,0.0,0.25,0.0,more than 30,more than 30,none,7 years,31 to 35,0,0,0,1 to 2,no change,1 vehicle,Collision,True,Sedan,Collision,0
18,Pontiac,1,Monday,May,1.0,1,Single,0,Sedan - Liability,Sport,20000 to 29000,0.0,0.25,0.0,more than 30,more than 30,1,7 years,31 to 35,0,0,0,none,no change,1 vehicle,Liability,False,Sedan,Liability,1
19,Honda,1,Tuesday,May,0.0,1,Married,1,Sedan - Liability,Sport,more than 69000,0.0,0.25,0.3333333333333333,more than 30,more than 30,2 to 4,6 years,31 to 35,0,0,0,more than 5,no change,1 vehicle,Liability,False,Sedan,Liability,1
20,Mazda,1,Tuesday,May,0.0,1,Married,0,Sedan - Liability,Sport,20000 to 29000,0.0,0.25,0.0,more than 30,more than 30,1,more than 7,36 to 40,0,0,0,more than 5,no change,1 vehicle,Liability,False,Sedan,Liability,1
21,Chevrolet,1,Monday,Jan,0.25,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,0.0,0.25,0.3333333333333333,more than 30,more than 30,1,more than 7,41 to 50,0,0,0,none,4 to 8 years,2 vehicles,Collision,True,Sedan,Collision,0
